SIMULACION - CONCIERTO LOS INQUIETOS DEL NORTE
Revisores:4
Total personas:,2000
Intervalo llegada:,1 - 10 seg
Intervalo atencion:,15 - 40 seg
Probabilidad rechazo:,3.0%
Total de simulaciones:,100

Simulacion,Aceptados,Rechazados,Tiempo total,Espera maxima,Personas que esperaron,Fila maxima,Atendidos R1,Atendidos R2,Atendidos R3,Atendidos R4
1,1949,51,230m 45s,44m 43s,1993,1992,495,504,503,498
2,1947,53,229m 37s,45m 45s,1995,1994,503,502,493,502
3,1947,53,230m 50s,45m 55s,1996,1996,498,493,511,498
4,1941,59,229m 48s,45m 30s,1996,1996,501,505,493,501
5,1949,51,231m 45s,47m 52s,1996,1996,498,497,504,501
6,1924,76,230m 0s,42m 54s,1995,1995,501,503,502,494
7,1958,42,229m 4s,44m 17s,1996,1996,505,508,483,504
8,1945,55,229m 37s,44m 42s,1996,1996,497,499,510,494
9,1934,66,228m 1s,45m 7s,1996,1996,501,504,491,504
10,1935,65,229m 34s,43m 44s,1996,1996,507,493,505,495
11,1945,55,229m 59s,46m 2s,1995,1995,500,501,496,503
12,1940,60,228m 50s,48m 46s,1989,1989,497,505,500,498
13,1947,53,228m 5s,43m 28s,1991,1988,500,507,494,499
14,1948,52,229m 37s,44m 14s,1996,1996,509,492,499,500
15,1929,71,230m 11s,50m 23s,1996,1996,497,489,503,511
16,1936,64,229m 36s,46m 12s,1994,1994,511,496,503,490
17,1934,66,228m 55s,43m 25s,1992,1989,499,493,501,507
18,1945,55,231m 8s,47m 9s,1992,1989,494,500,501,505
19,1946,54,230m 6s,42m 43s,1995,1994,502,506,499,493
20,1948,52,228m 30s,46m 13s,1991,1990,497,493,505,505
21,1943,57,229m 48s,46m 58s,1995,1995,497,503,508,492
22,1948,52,229m 45s,42m 32s,1990,1989,497,505,506,492
23,1945,55,228m 51s,47m 0s,1996,1996,494,503,506,497
24,1949,51,228m 53s,43m 0s,1991,1988,506,504,489,501
25,1920,80,229m 54s,42m 17s,1995,1994,499,505,501,495
26,1945,55,229m 56s,44m 14s,1992,1991,500,493,506,501
27,1930,70,229m 51s,44m 4s,1996,1996,497,497,501,505
28,1937,63,230m 35s,46m 7s,1993,1992,510,496,494,500
29,1944,56,230m 47s,48m 9s,1996,1996,494,505,498,503
30,1949,51,230m 45s,47m 0s,1992,1990,507,489,504,500
