SIMULACION - CONCIERTO LOS INQUIETOS DEL NORTE
Revisores:2
Total personas:,2000
Intervalo llegada:,1 - 10 seg
Intervalo atencion:,5 - 10 seg
Probabilidad rechazo:,3.0%
Total de simulaciones:,100

Simulacion,Aceptados,Rechazados,Tiempo total,Espera maxima,Personas que esperaron,Fila maxima,Atendidos R1,Atendidos R2
1,1952,48,185m 59s,0m 12s,465,17,1014,986
2,1949,51,184m 0s,0m 15s,479,19,1008,992
3,1935,65,184m 11s,0m 14s,488,23,1013,987
4,1947,53,181m 40s,0m 14s,528,22,1020,980
5,1933,67,181m 58s,0m 16s,582,25,1013,987
6,1945,55,181m 18s,0m 16s,534,16,1015,985
7,1938,62,181m 55s,0m 18s,561,29,1003,997
8,1934,66,180m 25s,0m 20s,581,22,1011,989
9,1945,55,183m 55s,0m 15s,547,23,1011,989
10,1953,47,182m 22s,0m 13s,473,15,1013,987
11,1934,66,180m 58s,0m 12s,536,19,1008,992
12,1946,54,182m 51s,0m 13s,468,11,1005,995
13,1949,51,186m 37s,0m 15s,434,15,1005,995
14,1932,68,180m 21s,0m 13s,520,17,1009,991
15,1944,56,186m 34s,0m 15s,434,21,1019,981
16,1938,62,181m 48s,0m 13s,524,18,1020,980
17,1940,60,186m 54s,0m 18s,487,24,1012,988
18,1940,60,187m 21s,0m 14s,466,21,1016,984
19,1945,55,182m 12s,0m 15s,552,22,1020,980
20,1931,69,182m 0s,0m 15s,531,20,1024,976
21,1932,68,183m 6s,0m 14s,541,29,1014,986
22,1933,67,179m 9s,0m 14s,532,16,1014,986
23,1931,69,186m 29s,0m 14s,480,13,1013,987
24,1938,62,180m 54s,0m 11s,560,22,1018,982
25,1941,59,185m 21s,0m 17s,488,16,1014,986
26,1941,59,183m 17s,0m 20s,516,17,1011,989
27,1928,72,183m 5s,0m 13s,495,17,1009,991
28,1942,58,185m 9s,0m 16s,489,13,1008,992
29,1927,73,186m 26s,0m 14s,439,13,1021,979
30,1933,67,185m 25s,0m 15s,523,22,1012,988
31,1943,57,183m 50s,0m 23s,535,24,1013,987
32,1929,71,186m 46s,0m 11s,447,15,1018,982
33,1950,50,183m 0s,0m 13s,578,23,1005,995
34,1941,59,181m 30s,0m 13s,559,20,1002,998
35,1938,62,186m 22s,0m 14s,472,22,1007,993
36,1941,59,185m 39s,0m 13s,472,15,1012,988
37,1947,53,180m 43s,0m 14s,513,27,1018,982
38,1929,71,183m 50s,0m 13s,502,19,1012,988
39,1938,62,182m 32s,0m 13s,487,24,1011,989
40,1942,58,183m 11s,0m 14s,515,24,1006,994
41,1940,60,185m 43s,0m 19s,499,16,1006,994
42,1926,74,182m 47s,0m 13s,489,11,1014,986
43,1940,60,184m 40s,0m 15s,510,14,1012,988
44,1945,55,181m 6s,0m 14s,558,19,1010,990
45,1934,66,185m 6s,0m 10s,521,14,1008,992
46,1939,61,183m 55s,0m 19s,501,26,1014,986
47,1926,74,183m 14s,0m 12s,501,29,1014,986
48,1947,53,181m 28s,0m 21s,549,26,1009,991
49,1940,60,186m 1s,0m 10s,457,14,1018,982
50,1949,51,183m 23s,0m 16s,548,28,1007,993
51,1929,71,180m 24s,0m 20s,544,22,1019,981
52,1925,75,181m 3s,0m 13s,515,16,1012,988
53,1928,72,182m 15s,0m 18s,527,19,1014,986
54,1946,54,182m 22s,0m 15s,524,16,1015,985
55,1944,56,184m 44s,0m 16s,501,19,1015,985
56,1949,51,182m 48s,0m 14s,513,16,1014,986
57,1937,63,184m 31s,0m 13s,457,16,1013,987
58,1942,58,185m 8s,0m 11s,452,18,1017,983
59,1950,50,180m 58s,0m 18s,544,24,1015,985
60,1933,67,183m 15s,0m 20s,477,19,1009,991
61,1952,48,184m 39s,0m 12s,458,10,1015,985
62,1917,83,182m 58s,0m 14s,498,20,1017,983
63,1930,70,183m 39s,0m 13s,480,15,1011,989
64,1936,64,180m 3s,0m 13s,561,19,1006,994
65,1945,55,182m 32s,0m 12s,560,16,1014,986
66,1937,63,181m 31s,0m 11s,559,21,1005,995
67,1937,63,182m 24s,0m 18s,526,15,1004,996
68,1953,47,184m 45s,0m 18s,489,31,1008,992
69,1941,59,184m 2s,0m 17s,494,18,1012,988
70,1946,54,183m 7s,0m 14s,546,17,1004,996
71,1935,65,186m 20s,0m 16s,488,14,1017,983
