SIMULACION - CONCIERTO LOS INQUIETOS DEL NORTE
Revisores:4
Total personas:,2000
Intervalo llegada:,1 - 10 seg
Intervalo atencion:,5 - 10 seg
Probabilidad rechazo:,3.0%
Total de simulaciones:,100

Simulacion,Aceptados,Rechazados,Tiempo total,Espera maxima,Personas que esperaron,Fila maxima,Atendidos R1,Atendidos R2,Atendidos R3,Atendidos R4
1,1946,54,182m 36s,0m 3s,14,4,504,502,500,494
2,1944,56,183m 1s,0m 2s,5,2,507,502,494,497
3,1942,58,185m 36s,0m 3s,5,1,509,500,498,493
4,1940,60,183m 15s,0m 2s,3,2,508,504,493,495
5,1927,73,183m 25s,0m 3s,11,2,509,502,495,494
6,1933,67,183m 29s,0m 4s,7,3,509,496,500,495
7,1944,56,182m 8s,0m 2s,5,2,504,503,500,493
8,1936,64,183m 49s,0m 3s,4,2,506,499,500,495
9,1943,57,181m 46s,0m 2s,3,1,507,499,498,496
10,1940,60,183m 35s,0m 2s,6,1,508,504,495,493
11,1950,50,181m 41s,0m 4s,7,2,507,501,500,492
12,1942,58,184m 9s,0m 3s,9,3,505,502,497,496
13,1949,51,183m 52s,0m 1s,2,1,504,501,499,496
14,1962,38,179m 34s,0m 2s,7,1,507,498,495,500
15,1950,50,182m 6s,0m 2s,5,1,507,503,496,494
16,1946,54,184m 25s,0m 1s,4,1,506,504,497,493
17,1934,66,184m 1s,0m 3s,7,2,508,503,495,494
18,1926,74,185m 36s,0m 2s,9,1,507,502,496,495
19,1953,47,186m 18s,0m 3s,7,2,505,504,496,495
20,1939,61,185m 12s,0m 3s,3,3,506,503,496,495
21,1939,61,185m 29s,0m 3s,6,2,506,500,498,496
22,1946,54,183m 12s,0m 3s,9,2,506,498,501,495
23,1946,54,182m 12s,0m 2s,4,2,505,501,501,493
24,1944,56,186m 22s,0m 1s,5,1,507,500,501,492
25,1946,54,184m 15s,0m 4s,9,3,506,503,497,494
26,1941,59,181m 59s,0m 1s,1,1,507,503,494,496
27,1926,74,180m 41s,0m 3s,9,2,502,501,501,496
