SIMULACION - CONCIERTO LOS INQUIETOS DEL NORTE
Revisores:4
Total personas:,2000
Intervalo llegada:,1 - 10 seg
Intervalo atencion:,5 - 10 seg
Probabilidad rechazo:,3.0%
Total de simulaciones:,100

Simulacion,Aceptados,Rechazados,Tiempo total,Espera maxima,Personas que esperaron,Fila maxima,Atendidos R1,Atendidos R2,Atendidos R3,Atendidos R4
1,1939,61,182m 40s,0m 3s,4,3,507,500,498,495
2,1934,66,183m 35s,0m 4s,8,5,512,501,495,492
3,1944,56,187m 21s,0m 3s,3,2,509,501,496,494
4,1941,59,183m 49s,0m 3s,5,2,508,500,499,493
5,1941,59,183m 16s,0m 2s,7,2,506,500,499,495
6,1946,54,182m 26s,0m 3s,5,2,505,502,498,495
7,1931,69,181m 42s,0m 2s,4,1,509,502,493,496
8,1938,62,184m 25s,0m 1s,3,1,506,505,495,494
9,1944,56,184m 12s,0m 3s,8,2,503,503,502,492
10,1957,43,182m 5s,0m 3s,8,2,510,505,492,493
11,1944,56,182m 41s,0m 5s,2,1,505,503,496,496
12,1953,47,184m 8s,0m 2s,5,2,507,501,494,498
13,1947,53,181m 15s,0m 2s,7,2,510,499,496,495
14,1941,59,181m 40s,0m 1s,1,1,507,504,497,492
15,1949,51,183m 8s,0m 4s,7,2,505,500,499,496
16,1942,58,182m 36s,0m 2s,6,3,507,499,497,497
17,1937,63,184m 55s,0m 4s,7,2,511,502,493,494
18,1942,58,179m 10s,0m 3s,10,2,506,502,498,494
19,1943,57,181m 36s,0m 4s,5,2,508,499,499,494
20,1936,64,183m 23s,0m 3s,12,5,504,507,496,493
21,1938,62,185m 9s,0m 3s,7,2,510,502,496,492
22,1946,54,184m 18s,0m 4s,3,2,504,503,496,497
23,1930,70,181m 13s,0m 3s,9,1,506,504,496,494
24,1937,63,183m 20s,0m 3s,7,3,506,505,495,494
25,1935,65,183m 52s,0m 3s,1,1,508,499,500,493
26,1946,54,183m 29s,0m 1s,3,2,507,495,500,498
27,1934,66,185m 11s,0m 4s,7,5,506,505,496,493
28,1942,58,185m 51s,0m 2s,4,2,502,504,497,497
29,1941,59,183m 46s,0m 4s,7,3,507,506,497,490
30,1930,70,180m 45s,0m 4s,7,2,508,505,496,491
31,1929,71,179m 28s,0m 4s,9,2,504,505,495,496
32,1928,72,183m 46s,0m 3s,8,2,504,503,498,495
33,1933,67,182m 25s,0m 2s,6,1,509,503,497,491
34,1930,70,183m 14s,0m 1s,1,1,510,500,496,494
35,1945,55,178m 47s,0m 4s,10,3,505,506,497,492
36,1952,48,186m 19s,0m 2s,6,2,503,499,501,497
37,1933,67,183m 46s,0m 2s,3,2,506,503,498,493
38,1951,49,181m 5s,0m 3s,5,1,505,506,495,494
39,1949,51,183m 27s,0m 1s,6,2,509,502,499,490
40,1949,51,180m 1s,0m 3s,6,2,505,502,501,492
41,1938,62,181m 36s,0m 3s,6,1,510,501,496,493
42,1955,45,183m 45s,0m 4s,6,2,506,501,497,496
43,1946,54,182m 30s,0m 3s,4,2,508,502,500,490
44,1924,76,181m 18s,0m 3s,8,2,504,501,498,497
45,1952,48,182m 50s,0m 3s,7,1,503,503,500,494
46,1937,63,184m 57s,0m 4s,9,3,506,502,501,491
47,1940,60,184m 20s,0m 1s,2,2,508,501,501,490
48,1940,60,183m 27s,0m 3s,11,2,509,500,497,494
49,1943,57,181m 51s,0m 2s,11,2,509,498,501,492
50,1937,63,180m 58s,0m 5s,6,3,503,499,500,498
51,1955,45,186m 4s,0m 3s,6,2,505,503,496,496
52,1945,55,184m 38s,0m 1s,2,1,506,503,497,494
53,1937,63,181m 53s,0m 2s,7,1,508,502,497,493
54,1948,52,183m 25s,0m 2s,4,2,503,505,499,493
55,1940,60,182m 15s,0m 2s,7,2,505,505,498,492
56,1945,55,183m 35s,0m 2s,4,1,506,498,497,499
57,1944,56,181m 11s,0m 4s,5,2,507,501,497,495
58,1943,57,184m 40s,0m 3s,9,2,508,500,496,496
59,1942,58,186m 8s,0m 2s,1,1,510,499,498,493
60,1935,65,180m 17s,0m 3s,5,3,509,502,497,492
61,1943,57,180m 18s,0m 2s,8,3,507,504,495,494
62,1941,59,184m 17s,0m 3s,5,1,505,500,500,495
