SIMULACION - CONCIERTO LOS INQUIETOS DEL NORTE
Revisores:,2
Total personas:,2000
Intervalo llegada:,1 - 10 seg
Intervalo atencion:,15 - 40 seg
Probabilidad rechazo:,3.0%
Total corridas:,100

Simulacion,Aceptados,Rechazados,Tiempo total,Espera maxima,Personas que esperaron,Fila maxima,Atendidos R1,Atendidos R2
1,1946,54,454m 32s,270m 19s,1998,1998,1011,989
2,1940,60,455m 14s,273m 7s,1998,1998,997,1003
3,1932,68,458m 21s,271m 38s,1998,1998,993,1007
4,1928,72,455m 33s,271m 57s,1998,1998,1009,991
5,1938,62,452m 33s,268m 53s,1998,1998,1009,991
6,1935,65,458m 37s,272m 42s,1998,1998,997,1003
7,1948,52,457m 21s,272m 54s,1998,1998,996,1004
8,1932,68,454m 43s,268m 52s,1998,1998,988,1012
9,1937,63,462m 8s,275m 25s,1998,1998,1000,1000
10,1943,57,458m 42s,278m 48s,1998,1998,1001,999
11,1941,59,461m 25s,276m 49s,1998,1998,998,1002
12,1941,59,459m 25s,274m 34s,1998,1998,994,1006
13,1931,69,454m 22s,270m 36s,1998,1998,993,1007
14,1942,58,455m 50s,275m 40s,1998,1998,1001,999
15,1947,53,457m 51s,270m 41s,1998,1998,999,1001
16,1941,59,460m 26s,276m 19s,1998,1998,982,1018
17,1948,52,463m 52s,283m 38s,1998,1998,994,1006
18,1939,61,461m 23s,276m 29s,1998,1998,994,1006
19,1926,74,458m 20s,276m 35s,1998,1998,992,1008
20,1932,68,458m 48s,277m 4s,1998,1998,992,1008
21,1956,44,461m 1s,276m 18s,1998,1998,998,1002
22,1949,51,456m 51s,273m 10s,1998,1998,999,1001
23,1942,58,458m 20s,271m 20s,1998,1998,1004,996
24,1941,59,461m 3s,276m 31s,1997,1997,995,1005
25,1926,74,457m 50s,270m 22s,1998,1998,1002,998
26,1927,73,458m 16s,275m 6s,1998,1998,1005,995
27,1935,65,459m 26s,275m 36s,1998,1998,999,1001
28,1945,55,459m 6s,274m 32s,1998,1998,994,1006
29,1945,55,455m 12s,271m 28s,1998,1998,998,1002
30,1929,71,461m 58s,281m 9s,1998,1998,997,1003
31,1947,53,458m 44s,273m 12s,1998,1998,1004,996
32,1952,48,457m 30s,276m 36s,1998,1998,1004,996
33,1945,55,457m 0s,271m 29s,1998,1998,1011,989
34,1938,62,456m 7s,271m 49s,1998,1998,1002,998
35,1931,69,456m 40s,274m 29s,1998,1998,1001,999
36,1948,52,456m 39s,273m 22s,1996,1996,1012,988
37,1941,59,457m 44s,279m 18s,1998,1998,987,1013
38,1921,79,458m 42s,271m 14s,1998,1998,1004,996
39,1940,60,458m 21s,280m 20s,1998,1998,1008,992
40,1952,48,455m 0s,272m 6s,1998,1998,1009,991
41,1941,59,456m 13s,273m 17s,1998,1998,995,1005
42,1934,66,461m 28s,277m 41s,1998,1998,986,1014
43,1950,50,460m 26s,275m 20s,1998,1998,1001,999
44,1945,55,459m 8s,279m 59s,1998,1998,1000,1000
45,1950,50,459m 31s,274m 22s,1998,1998,997,1003
46,1943,57,464m 41s,280m 57s,1998,1998,999,1001
47,1935,65,460m 31s,277m 3s,1998,1998,992,1008
48,1944,56,452m 7s,265m 34s,1998,1998,996,1004
49,1935,65,458m 45s,274m 58s,1998,1998,1012,988
50,1938,62,457m 30s,270m 45s,1998,1998,1002,998
51,1946,54,459m 8s,277m 2s,1998,1998,1004,996
52,1938,62,457m 6s,274m 20s,1998,1998,998,1002
53,1938,62,457m 23s,276m 9s,1998,1998,1001,999
54,1934,66,456m 44s,269m 58s,1998,1998,993,1007
55,1945,55,458m 52s,273m 21s,1998,1998,1001,999
56,1959,41,456m 11s,273m 39s,1998,1998,992,1008
57,1945,55,460m 23s,278m 49s,1998,1998,999,1001
58,1953,47,456m 29s,273m 52s,1998,1998,1001,999
59,1940,60,463m 43s,283m 11s,1998,1998,999,1001
60,1944,56,453m 5s,268m 3s,1998,1998,998,1002
61,1947,53,466m 0s,283m 58s,1998,1998,984,1016
62,1940,60,459m 32s,274m 58s,1998,1998,1001,999
63,1939,61,454m 48s,269m 12s,1998,1998,1003,997
64,1954,46,455m 44s,270m 23s,1998,1998,994,1006
65,1927,73,459m 17s,277m 2s,1998,1998,1007,993
66,1950,50,464m 5s,284m 3s,1998,1998,1004,996
67,1929,71,457m 29s,268m 22s,1998,1998,1002,998
68,1950,50,456m 24s,270m 48s,1998,1998,986,1014
69,1926,74,456m 59s,271m 39s,1998,1998,1013,987
70,1938,62,454m 55s,275m 17s,1998,1998,1002,998
71,1936,64,456m 56s,271m 12s,1998,1998,996,1004
72,1929,71,461m 59s,282m 25s,1998,1998,1006,994
73,1942,58,463m 53s,282m 5s,1998,1998,1001,999
74,1935,65,459m 50s,279m 17s,1998,1998,999,1001
75,1933,67,462m 11s,277m 6s,1998,1998,1001,999
76,1936,64,453m 14s,270m 47s,1998,1998,991,1009
77,1938,62,454m 1s,269m 2s,1998,1998,996,1004
78,1933,67,456m 19s,270m 42s,1998,1998,1001,999
79,1942,58,459m 31s,277m 51s,1998,1998,991,1009
80,1936,64,455m 49s,274m 17s,1998,1998,1009,991
81,1940,60,450m 53s,266m 0s,1998,1998,1005,995
82,1942,58,462m 44s,283m 11s,1998,1998,1001,999
83,1931,69,456m 48s,270m 14s,1998,1998,1003,997
84,1938,62,464m 32s,280m 7s,1998,1998,998,1002
85,1947,53,460m 25s,278m 37s,1998,1998,993,1007
86,1945,55,457m 29s,272m 40s,1998,1998,1001,999
87,1944,56,460m 40s,274m 7s,1998,1998,994,1006
88,1939,61,454m 45s,266m 21s,1998,1998,1007,993
89,1948,52,460m 37s,276m 42s,1998,1998,1004,996
90,1934,66,460m 13s,280m 39s,1998,1998,996,1004
91,1943,57,459m 25s,275m 0s,1998,1998,1002,998
92,1934,66,458m 17s,275m 22s,1998,1998,1005,995
93,1942,58,457m 32s,276m 15s,1998,1998,1001,999
94,1941,59,456m 28s,270m 23s,1998,1998,998,1002
95,1947,53,457m 13s,274m 26s,1998,1998,991,1009
96,1939,61,454m 27s,269m 37s,1998,1998,995,1005
97,1933,67,456m 45s,272m 6s,1998,1998,1006,994
98,1933,67,459m 39s,279m 29s,1998,1998,1001,999
99,1941,59,458m 48s,276m 12s,1998,1998,996,1004
100,1931,69,457m 57s,275m 32s,1998,1998,1006,994
